cell_id,elevation,corine_landuse,temperature,precipitation,population,soil_class
46f23854,7.176342005632361,242,-9.0,573.0,0.6611717939376831,2.0
46f239ac,3.26564488483935,243,-9.0,568.0,0.7218104600906372,0.0
46f2384c,6.252759957800107,242,-9.0,581.0,0.6863473653793335,2.0
46f239b4,3.85083531360237,243,-9.0,578.0,1.3082749843597412,2.0
46f2385c,9.432144534831146,231,-9.0,579.0,0.6177750825881958,2.0
46f23864,10.336085893669908,231,-9.0,579.0,1.0887565612792969,2.0
46f238f4,10.131146372581014,231,-9.0,575.0,1.1181814670562744,2.0
46f23844,7.7091602597917825,242,-9.0,579.0,0.9488947987556458,2.0
46f23904,2.9896185422430235,321,-9.0,567.0,0.6692553162574768,0.0
46f2391c,4.2815424228201096,231,-9.0,569.0,0.8669624924659729,2.0
46f23914,2.063466415531477,312,-9.0,568.0,0.36370941996574396,0.0
46f2390c,3.869121103870625,312,-9.0,576.0,0.28144997358322144,0.0
46f238e4,7.266732644061652,231,-9.0,571.0,1.937278389930725,2.0
46f238ec,11.205263546534947,231,-9.0,577.0,2.8159334659576416,2.0
46f238fc,7.672916879459303,231,-9.0,579.0,1.21780526638031,12.0
46f239cc,6.216590020121361,243,-9.0,579.0,2.7661283016204834,0.0
46f23834,7.000763017304091,231,-9.0,587.0,0.9464140534400941,2.0
46f2383c,8.433294695250842,312,-9.0,579.0,0.37180057168006897,3.0
46f239bc,4.23848151674076,231,-9.0,583.0,1.3258427381515503,2.0
46f239a4,3.0617266309504605,231,-9.0,578.0,1.2735555171966553,0.0
46f23684,0.0,523,0.0,0.0,0.0,
46f2367c,0.0,523,0.0,0.0,0.0,21.0
46f2368c,0.0,523,0.0,0.0,0.0,21.0
46f23674,0.4160719209787797,322,-7.0,568.0,0.0069040204398334035,2.0
46f23614,0.0,523,0.0,0.0,0.0,21.0
46f2366c,0.0,523,-7.0,568.0,0.0,21.0
46f2360c,0.0002351599954524819,523,-7.0,568.0,0.0069040204398334035,21.0
46f236ec,0.0,523,0.0,0.0,0.0,21.0
46f236f4,0.0,523,0.0,0.0,0.0,21.0
46f23694,0.0,523,0.0,0.0,0.0,21.0
46f2365c,0.0,523,0.0,0.0,0.0,21.0
46f23644,0.4301397630146572,321,0.0,0.0,0.018547477200627327,2.0
46f23664,0.0,523,0.0,0.0,0.0,21.0
46f235dc,0.4750834085323192,523,0.0,566.0,0.013914012350142002,2.0
46f2362c,0.0,523,0.0,0.0,0.0,21.0
46f249d4,0.22682277584562496,331,-8.0,568.0,0.0,15.0
46f23624,0.0,523,0.0,0.0,0.0,21.0
46f249dc,0.0,523,0.0,0.0,0.0,21.0
46f249cc,0.821512247777867,331,-8.0,571.0,0.0,14.0
46f24834,0.7020431027120474,321,-8.0,570.0,0.0,14.0
46f249c4,0.3390309822422509,331,-8.0,569.0,0.0,12.0
46f237cc,0.0,523,0.0,0.0,0.0,21.0
46f237d4,0.5106122140981713,312,-8.0,569.0,0.0,2.0
46f23634,0.0,523,0.0,0.0,0.0,21.0
46f2482c,3.3667582662738105,243,-8.0,581.0,0.0,2.0
46f24824,1.2123883634197468,312,-8.0,570.0,0.0,12.0
46f2361c,0.061691598016388564,321,-8.0,567.0,0.016623998060822487,15.0
46f23604,0.6451254766814563,321,0.0,0.0,0.0,2.0
46f249e4,0.0,523,0.0,0.0,0.0,21.0
46f249ec,0.0,523,0.0,0.0,0.0,21.0
46f249fc,0.0,523,0.0,0.0,0.0,21.0
46f2363c,0.2692054656087136,523,-8.0,569.0,0.02224760130047798,2.0
46f236d4,0.0,523,0.0,0.0,0.0,21.0
46f2372c,0.0,523,0.0,0.0,0.0,21.0
46f236dc,0.0,523,0.0,0.0,0.0,21.0
46f23724,0.0,523,0.0,0.0,0.0,21.0
46f236c4,0.0,523,0.0,0.0,0.0,21.0
46f230d4,0.0,523,0.0,0.0,0.0,21.0
46f23734,0.0,523,0.0,0.0,0.0,21.0
46f2238c,0.0,523,0.0,0.0,0.0,
46f22394,0.0,523,0.0,0.0,0.0,
46f2236c,0.0,523,0.0,0.0,0.0,
46f22374,0.0,523,0.0,0.0,0.0,
46f22364,0.0,523,0.0,0.0,0.0,
46f2237c,0.0,523,0.0,0.0,0.0,
46f22344,0.0,523,0.0,0.0,0.0,
46f2234c,0.0,523,0.0,0.0,0.0,
46f2233c,0.0,523,0.0,0.0,0.0,
46f2235c,0.0,523,0.0,0.0,0.0,
46f22354,0.0,523,0.0,0.0,0.0,
46f2230c,0.0,523,0.0,0.0,0.0,
46f223ac,0.0,523,0.0,0.0,0.0,
46f22304,0.0,523,0.0,0.0,0.0,
46f223a4,0.0,523,0.0,0.0,0.0,
46f22314,0.0,523,0.0,0.0,0.0,
46f22324,0.0,523,0.0,0.0,0.0,
46f2231c,0.0,523,0.0,0.0,0.0,
46f22484,0.0,523,0.0,0.0,0.0,
46f2249c,0.0,523,0.0,0.0,0.0,
46f22494,0.0,523,0.0,0.0,0.0,
46f224a4,0.0,523,0.0,0.0,0.0,
46f224bc,0.0,523,0.0,0.0,0.0,
46f22384,0.0,523,0.0,0.0,0.0,
46f2239c,0.0,523,0.0,0.0,0.0,
46f2247c,0.0,523,0.0,0.0,0.0,
46f223cc,0.0,523,0.0,0.0,0.0,
46f2224c,0.0,523,0.0,0.0,0.0,
46f22234,0.0,523,0.0,0.0,0.0,
46f223b4,0.0,523,0.0,0.0,0.0,
46f22254,0.0,523,0.0,0.0,0.0,
46f22224,0.0,523,0.0,0.0,0.0,21.0
46f2223c,0.0,523,0.0,0.0,0.0,21.0
46f2221c,0.0,523,0.0,0.0,0.0,21.0
46f2222c,0.0,523,0.0,0.0,0.0,21.0
46f22244,0.0,523,0.0,0.0,0.0,
46f2226c,0.0,523,0.0,0.0,0.0,
46f22214,0.0,523,0.0,0.0,0.0,21.0
46f223ec,0.0,523,0.0,0.0,0.0,
46f223c4,0.0,523,0.0,0.0,0.0,
46f223bc,0.0,523,0.0,0.0,0.0,
46f223d4,0.0,523,0.0,0.0,0.0,
46f2217c,0.0,523,0.0,0.0,0.0,
46f224d4,0.0,523,0.0,0.0,0.0,
46f224dc,0.0,523,0.0,0.0,0.0,
46f224ec,0.0,523,0.0,0.0,0.0,
46f224c4,0.0,523,0.0,0.0,0.0,
46f23c7c,0.0,523,0.0,0.0,0.0,21.0
46f23c6c,0.0,523,0.0,0.0,0.0,21.0
46f23c64,0.0,523,0.0,0.0,0.0,
46f23c74,0.0,523,0.0,0.0,0.0,21.0
46f23c14,0.0,523,0.0,0.0,0.0,21.0
46f23c0c,0.0,523,0.0,0.0,0.0,21.0
46f23cf4,0.0,523,0.0,0.0,0.0,
46f23c5c,0.0,523,0.0,0.0,0.0,
46f23cfc,0.0,523,0.0,0.0,0.0,
46f23c8c,0.0,523,0.0,0.0,0.0,
46f23c44,0.0,523,0.0,0.0,0.0,21.0
46f23c4c,0.021574049579853916,523,-9.0,565.0,0.0,21.0
46f23c54,0.0,523,0.0,0.0,0.0,21.0
46f23b9c,0.0,523,0.0,0.0,0.0,21.0
46f23b84,0.0,523,0.0,0.0,0.0,21.0
46f23b7c,0.0,523,0.0,0.0,0.0,
46f23b74,0.0,523,0.0,0.0,0.0,
46f23b8c,0.0,523,0.0,0.0,0.0,21.0
46f23bf4,0.0,523,0.0,0.0,0.0,21.0
46f23b94,0.0,523,0.0,0.0,0.0,21.0
46f23bec,0.0,523,0.0,0.0,0.0,21.0
46f23c84,0.0,523,0.0,0.0,0.0,
46f23c9c,0.0,523,0.0,0.0,0.0,
46f23e84,4.561994275268243,243,-10.0,584.0,3.5290639400482178,2.0
46f23e8c,9.38672441852336,243,-10.0,595.0,3.4889094829559326,2.0
46f23e7c,6.393087065949732,243,-10.0,587.0,5.317709922790527,1.0
46f23e9c,4.25016830891979,243,-9.0,580.0,2.3546528816223145,2.0
46f23e94,5.742555355539127,243,-10.0,589.0,3.646841764450073,2.0
46f23ef4,17.599612703128738,231,-10.0,597.0,4.741480827331543,2.0
46f23e64,12.947043584317575,243,-10.0,596.0,2.8466813564300537,2.0
46f23e5c,17.504543382294322,231,-10.0,592.0,6.3938307762146,0.0
46f23eec,14.280906268528529,243,-10.0,595.0,3.1593949794769287,2.0
46f23dd4,4.815475483329928,231,-10.0,580.0,1.4873701333999634,2.0
46f23e74,5.483067347078907,231,-10.0,585.0,0.4738661348819733,2.0
46f23ddc,4.036985964191203,231,-9.0,575.0,2.2291784286499023,2.0
46f23e6c,9.5348760935725,311,-10.0,592.0,0.0,4.0
46f23ea4,0.4593887996612762,231,-9.0,566.0,0.4766820669174194,2.0
46f23c1c,1.0138394564998394,231,-9.0,565.0,0.08541660010814668,2.0
46f23eac,0.0,523,0.0,0.0,0.0,21.0
46f23ebc,5.520456859043668,243,-9.0,589.0,2.2849342823028564,2.0
46f23eb4,5.019748775326477,231,-9.0,589.0,2.0266156196594243,1.0
46f23ec4,8.114854744502477,243,-10.0,589.0,1.1128777265548706,2.0
46f23c24,2.042429657614961,312,-9.0,573.0,0.5300189852714539,2.0
46f23c2c,2.3145346373927835,243,-9.0,576.0,3.1101567745208736,0.0
46f23c34,1.8698289126765968,312,-9.0,568.0,0.5793018937110901,2.0
46f23c3c,0.2914909416315507,321,0.0,0.0,0.8567079305648804,2.0
46f23cdc,0.0,523,0.0,0.0,0.0,
46f23cd4,0.0,523,0.0,0.0,0.0,
46f23d24,0.0,523,0.0,0.0,0.0,
46f23cc4,0.0,523,0.0,0.0,0.0,
46f23ce4,0.0,523,0.0,0.0,0.0,21.0
46f23d04,0.0,523,0.0,0.0,0.0,21.0
46f23d1c,0.0,523,0.0,0.0,0.0,21.0
46f23d34,0.0,523,0.0,0.0,0.0,
46f222cc,0.0,523,0.0,0.0,0.0,
46f23d2c,0.0,523,0.0,0.0,0.0,
46f222d4,0.0,523,0.0,0.0,0.0,
46f23d3c,0.0,523,0.0,0.0,0.0,21.0
46f23d14,0.0,523,0.0,0.0,0.0,21.0
46f23d44,0.0,523,0.0,0.0,0.0,21.0
46f23cb4,0.0,523,0.0,0.0,0.0,
46f23ccc,0.0,523,0.0,0.0,0.0,
46f23cac,0.0,523,0.0,0.0,0.0,
46f23cbc,0.0,523,0.0,0.0,0.0,
46f23cec,0.0,523,0.0,0.0,0.0,
46f23c94,0.0,523,0.0,0.0,0.0,
46f2232c,0.0,523,0.0,0.0,0.0,
46f22334,0.0,523,0.0,0.0,0.0,
46f23d9c,0.0,523,0.0,0.0,0.0,21.0
46f23d94,0.0,523,-9.0,563.0,0.007296128664165734,21.0
46f23da4,0.0,523,0.0,0.0,0.0,21.0
46f23dbc,0.0,523,0.0,0.0,0.02875865064561367,21.0
46f23dec,1.4380181570518382,243,-9.0,570.0,0.6853358149528503,2.0
46f23de4,5.636959898228548,231,-10.0,581.0,2.263495445251465,2.0
46f23df4,1.4160469042099253,231,-9.0,573.0,1.1058220863342283,2.0
46f23dc4,1.813501280181262,231,-9.0,575.0,2.586109399795532,2.0
46f23d7c,0.0,523,0.0,0.0,0.0,21.0
46f2162c,0.0,523,0.0,0.0,0.0,21.0
46f217d4,0.0,523,0.0,0.0,0.0,21.0
46f23d74,0.0,523,0.0,0.0,0.0,21.0
46f23d84,0.0,523,0.0,0.0,0.0,21.0
46f21624,0.03973562620124038,523,0.0,0.0,0.0,21.0
46f2161c,2.7936873642765745,243,-10.0,583.0,1.7711954116821291,2.0
46f23d8c,0.0,523,0.0,0.0,0.0,21.0
46f23dac,0.0,523,0.0,0.0,0.0,21.0
46f23db4,0.0,321,0.0,0.0,0.011238787323236464,21.0
46f23dcc,0.10985776569162096,523,-9.0,572.0,0.4596868455410004,15.0
46f23d0c,0.0,523,0.0,0.0,0.0,21.0
46f23d6c,0.0,523,0.0,0.0,0.0,21.0
46f23a54,0.0,523,0.0,0.0,0.0,
46f23a4c,0.0,523,0.0,0.0,0.0,
46f23bac,0.0,523,0.0,0.0,0.0,
46f23a5c,0.0,523,0.0,0.0,0.0,
46f23a34,0.0,523,0.0,0.0,0.0,
46f23bcc,0.0,523,0.0,0.0,0.0,
46f23bb4,0.0,523,0.0,0.0,0.0,
46f23b04,0.0,523,0.0,0.0,0.0,
46f23ba4,0.0,523,0.0,0.0,0.0,
46f23b0c,0.0,523,0.0,0.0,0.0,
46f23bbc,0.0,523,0.0,0.0,0.0,
46f23a64,0.0,523,0.0,0.0,0.0,
46f23a6c,0.0,523,0.0,0.0,0.0,
46f23a44,0.0,523,0.0,0.0,0.0,
46f23afc,0.0,523,0.0,0.0,0.0,
46f23af4,0.0,523,0.0,0.0,0.0,
46f23964,0.0,523,-9.0,563.0,0.0,21.0
46f23944,0.6390963695487197,322,-9.0,565.0,0.348300039768219,2.0
46f23be4,0.0,523,0.0,0.0,0.0,21.0
46f2395c,0.0,523,0.0,0.0,0.0,21.0
46f2396c,0.28142963623513984,331,-9.0,567.0,0.09766001254320143,2.0
46f23bdc,0.0,523,0.0,0.0,0.0,21.0
46f2393c,0.0,523,0.0,0.0,0.06371601670980452,21.0
46f23934,0.8958960503947978,311,-9.0,572.0,0.3389361500740051,2.0
46f23bfc,0.0,523,0.0,0.0,0.0,21.0
46f23954,0.0,523,0.0,0.0,0.0,21.0
46f23c04,0.0,523,0.0,0.0,0.0,21.0
46f2394c,0.0,523,-9.0,564.0,0.0,21.0
46f23bd4,0.0,523,0.0,0.0,0.0,21.0
46f2397c,0.0,523,0.0,0.0,0.0,21.0
46f23a2c,0.0,523,0.0,0.0,0.0,21.0
46f23974,1.7329153576675729,312,-9.0,578.0,0.17049534618854525,2.0
46f2399c,0.7885507783111261,231,-8.0,570.0,0.14552481472492218,0.0
46f23bc4,0.0,523,0.0,0.0,0.0,21.0
46f23b44,0.0,523,0.0,0.0,0.0,
46f23b4c,0.0,523,0.0,0.0,0.0,
46f23b3c,0.0,523,0.0,0.0,0.0,
46f23b34,0.0,523,0.0,0.0,0.0,
46f23b6c,0.0,523,0.0,0.0,0.0,
46f23b64,0.0,523,0.0,0.0,0.0,
46f23b14,0.0,523,0.0,0.0,0.0,
46f23b54,0.0,523,0.0,0.0,0.0,
46f224ac,0.0,523,0.0,0.0,0.0,
46f23ca4,0.0,523,0.0,0.0,0.0,
46f23b5c,0.0,523,0.0,0.0,0.0,
46f23b2c,0.0,523,0.0,0.0,0.0,
46f23b24,0.0,523,0.0,0.0,0.0,
46f2252c,0.0,523,0.0,0.0,0.0,
46f23b1c,0.0,523,0.0,0.0,0.0,
46f224cc,0.0,523,0.0,0.0,0.0,
46f224b4,0.0,523,0.0,0.0,0.0,
46f21f94,1.6272248723069016,322,-9.0,568.0,0.2919810712337494,2.0
46f21fec,0.9268769840804898,321,-9.0,568.0,0.2043389678001404,2.0
46f21fbc,2.8541840071580853,231,-10.0,583.0,0.3715241253376007,2.0
46f21f8c,0.0,523,-9.0,563.0,0.0,21.0
46f21f9c,2.9375762817810998,311,-10.0,580.0,0.3888523578643799,1.0
46f21f0c,4.883453252364178,243,-10.0,584.0,0.37204059958457947,0.0
46f21fa4,6.028908447343476,311,-10.0,588.0,0.33126991987228394,1.0
46f21f74,2.082847617110428,243,-9.0,564.0,0.39862099289894093,2.0
46f21fcc,1.4106786958113011,321,-10.0,575.0,0.0,12.0
46f21fd4,1.891125865128576,311,-9.0,571.0,0.0,2.0
46f21fc4,0.0,523,0.0,0.0,0.0,21.0
46f21fdc,0.10327328484633873,411,0.0,0.0,0.0,15.0
46f21fb4,5.0380239632664905,311,-10.0,587.0,0.25401198863983154,2.0
46f21fac,7.422509076643963,311,-10.0,588.0,0.6790218353271484,1.0
46f21e4c,5.119016204561506,311,-10.0,588.0,0.3468628227710724,12.0
46f2202c,0.0,523,0.0,0.0,0.0,21.0
46f21f84,1.2659344871585467,322,-9.0,564.0,0.32111620903015137,0.0
46f21edc,15.800442948633313,243,-11.0,590.0,0.9091619849205016,1.0
46f21ee4,18.83555291623485,243,-11.0,593.0,4.001196384429932,1.0
46f21f24,12.416352914304149,231,-10.0,588.0,1.683515548706055,2.0
46f21f1c,15.921155151055784,243,-11.0,591.0,2.049987316131592,2.0
46f21ed4,23.35127651448153,311,-11.0,605.0,0.6206412315368652,2.0
46f2192c,28.20867304899255,311,-12.0,610.0,0.3659237027168274,2.0
46f21ecc,25.42137184921576,311,-11.0,601.0,0.6022680997848511,2.0
46f21f2c,15.475094152956595,313,-11.0,597.0,0.4228387475013733,1.0
46f218d4,21.96559240380112,312,-11.0,605.0,0.4871070086956024,4.0
46f21eec,22.463957747634574,312,-11.0,603.0,1.2952033281326294,1.0
46f21e8c,21.588368454758,243,-12.0,608.0,0.8012251853942871,1.0
46f21e94,25.526736901730903,312,-11.0,602.0,0.0,2.0
46f21ef4,15.371922901698522,312,-11.0,594.0,0.9049153327941896,2.0
46f21ec4,22.37123030059192,231,-11.0,592.0,0.8585076928138733,2.0
46f21eb4,24.809182536845302,311,-12.0,596.0,0.7134456038475037,2.0
46f21ebc,21.315909482994854,231,-11.0,587.0,0.0,11.0
46f21f14,4.568521295275007,231,-10.0,577.0,0.694938063621521,2.0
46f21f3c,6.9296101112754975,231,-10.0,587.0,0.9133625626564026,2.0
46f21f6c,1.1426757527705358,243,-9.0,569.0,0.3907517492771149,2.0
46f21f44,3.259027196436512,243,-10.0,569.0,0.8583186864852905,0.0
46f21f34,4.300788957245496,243,-10.0,578.0,1.4044551849365234,2.0
46f21f4c,1.9431788775385643,243,-9.0,563.0,0.5955151915550232,0.0
46f21f04,12.218866289878378,243,-10.0,590.0,1.637585163116455,2.0
46f21e54,12.794199359660244,243,-10.0,592.0,0.8171979188919067,2.0
46f21efc,14.127061065362424,243,-11.0,593.0,1.8299921751022337,2.0
46f1f584,0.0,523,-10.0,568.0,0.0,15.0
46f1f594,0.0,523,0.0,0.0,0.0,21.0
46f21e2c,2.2747285402550994,322,-10.0,576.0,0.0,12.0
